SETTLEMENTDATE,F_all_power,Delta_power
1/1/2021 1:00,33391,0
1/1/2021 2:00,33391,0
1/1/2021 3:00,33391,0
1/1/2021 4:00,33391,0
1/1/2021 5:00,33391,0
1/1/2021 6:00,33391,0
1/1/2021 7:00,33391,0
1/1/2021 8:00,33391,0
1/1/2021 9:00,33395,4
1/1/2021 10:00,33407,12
1/1/2021 11:00,33459,52
1/1/2021 12:00,33508,49
1/1/2021 13:00,33560,52
1/1/2021 14:00,33600,40
1/1/2021 15:00,33648,48
1/1/2021 16:00,33675,27
1/1/2021 17:00,33679,4
1/1/2021 18:00,33679,0
1/1/2021 19:00,33679,0
1/1/2021 20:00,33679,0
1/1/2021 21:00,33679,0
1/1/2021 22:00,33679,0
1/1/2021 23:00,33679,0
1/2/2021 0:00,33679,0
1/2/2021 1:00,33679,0
1/2/2021 2:00,33679,0
1/2/2021 3:00,33679,0
1/2/2021 4:00,33679,0
1/2/2021 5:00,33679,0
1/2/2021 6:00,33679,0
1/2/2021 7:00,33679,0
1/2/2021 8:00,33679,0
1/2/2021 9:00,33684,5
1/2/2021 10:00,33695,11
1/2/2021 11:00,33748,53
1/2/2021 12:00,33816,68
1/2/2021 13:00,33890,74
1/2/2021 14:00,33962,72
1/2/2021 15:00,34025,63
1/2/2021 16:00,34069,44
1/2/2021 17:00,34085,16
1/2/2021 18:00,34086,1
1/2/2021 19:00,34086,0
1/2/2021 20:00,34086,0
1/2/2021 21:00,34086,0
1/2/2021 22:00,34086,0
1/2/2021 23:00,34086,0
1/3/2021 0:00,34086,0
1/3/2021 1:00,34086,0
1/3/2021 2:00,34086,0
1/3/2021 3:00,34086,0
1/3/2021 4:00,34086,0
1/3/2021 5:00,34086,0
1/3/2021 6:00,34086,0
1/3/2021 7:00,34086,0
1/3/2021 8:00,34086,0
1/3/2021 9:00,34090,4
1/3/2021 10:00,34100,10
1/3/2021 11:00,34156,56
1/3/2021 12:00,34229,73
1/3/2021 13:00,34296,67
1/3/2021 14:00,34357,61
1/3/2021 15:00,34384,27
1/3/2021 16:00,34402,18
1/3/2021 17:00,34409,7
1/3/2021 18:00,34409,0
1/3/2021 19:00,34409,0
1/3/2021 20:00,34409,0
1/3/2021 21:00,34409,0
1/3/2021 22:00,34409,0
1/3/2021 23:00,34409,0
1/4/2021 0:00,34409,0
1/4/2021 1:00,34409,0
1/4/2021 2:00,34409,0
1/4/2021 3:00,34409,0
1/4/2021 4:00,34409,0
1/4/2021 5:00,34409,0
1/4/2021 6:00,34409,0
1/4/2021 7:00,34409,0
1/4/2021 8:00,34410,1
1/4/2021 9:00,34414,4
1/4/2021 10:00,34425,11
1/4/2021 11:00,34477,52
1/4/2021 12:00,34543,66
1/4/2021 13:00,34614,71
1/4/2021 14:00,34681,67
1/4/2021 15:00,34736,55
1/4/2021 16:00,34773,37
1/4/2021 17:00,34785,12
1/4/2021 18:00,34786,1
1/4/2021 19:00,34786,0
1/4/2021 20:00,34786,0
1/4/2021 21:00,34786,0
1/4/2021 22:00,34786,0
1/4/2021 23:00,34786,0
1/5/2021 0:00,34786,0
1/5/2021 1:00,34786,0
1/5/2021 2:00,34786,0
1/5/2021 3:00,34786,0
1/5/2021 4:00,34786,0
1/5/2021 5:00,34786,0
1/5/2021 6:00,34786,0
1/5/2021 7:00,34786,0
1/5/2021 8:00,34786,0
1/5/2021 9:00,34792,6
1/5/2021 10:00,34808,16
1/5/2021 11:00,34844,36
1/5/2021 12:00,34892,48
1/5/2021 13:00,34951,59
1/5/2021 14:00,34978,27
1/5/2021 15:00,35008,30
1/5/2021 16:00,35025,17
1/5/2021 17:00,35032,7
1/5/2021 18:00,35033,1
1/5/2021 19:00,35033,0
1/5/2021 20:00,35033,0
1/5/2021 21:00,35033,0
1/5/2021 22:00,35033,0
1/5/2021 23:00,35033,0
1/6/2021 0:00,35033,0
1/6/2021 1:00,35033,0
1/6/2021 2:00,35033,0
1/6/2021 3:00,35033,0
1/6/2021 4:00,35033,0
1/6/2021 5:00,35033,0
1/6/2021 6:00,35033,0
1/6/2021 7:00,35033,0
1/6/2021 8:00,35033,0
1/6/2021 9:00,35037,4
1/6/2021 10:00,35045,8
1/6/2021 11:00,35103,58
1/6/2021 12:00,35179,76
1/6/2021 13:00,35253,74
1/6/2021 14:00,35330,77
1/6/2021 15:00,35396,66
1/6/2021 16:00,35440,44
1/6/2021 17:00,35456,16
1/6/2021 18:00,35457,1
1/6/2021 19:00,35457,0
1/6/2021 20:00,35457,0
1/6/2021 21:00,35457,0
1/6/2021 22:00,35457,0
1/6/2021 23:00,35457,0
1/7/2021 0:00,35457,0
1/7/2021 1:00,35457,0
1/7/2021 2:00,35457,0
1/7/2021 3:00,35457,0
1/7/2021 4:00,35457,0
1/7/2021 5:00,35457,0
1/7/2021 6:00,35457,0
1/7/2021 7:00,35457,0
1/7/2021 8:00,35458,1
1/7/2021 9:00,35461,3
1/7/2021 10:00,35471,10
1/7/2021 11:00,35525,54
1/7/2021 12:00,35604,79
1/7/2021 13:00,35687,83
1/7/2021 14:00,35768,81
1/7/2021 15:00,35838,70
1/7/2021 16:00,35888,50
1/7/2021 17:00,35908,20
1/7/2021 18:00,35908,0
1/7/2021 19:00,35908,0
1/7/2021 20:00,35908,0
1/7/2021 21:00,35908,0
1/7/2021 22:00,35908,0
1/7/2021 23:00,35908,0
1/8/2021 0:00,35908,0
1/8/2021 1:00,35908,0
1/8/2021 2:00,35908,0
1/8/2021 3:00,35908,0
1/8/2021 4:00,35908,0
1/8/2021 5:00,35908,0
1/8/2021 6:00,35908,0
1/8/2021 7:00,35908,0
1/8/2021 8:00,35909,1
1/8/2021 9:00,35912,3
1/8/2021 10:00,35921,9
1/8/2021 11:00,35983,62
1/8/2021 12:00,36061,78
1/8/2021 13:00,36143,82
1/8/2021 14:00,36223,80
1/8/2021 15:00,36293,70
1/8/2021 16:00,36341,48
1/8/2021 17:00,36360,19
1/8/2021 18:00,36361,1
1/8/2021 19:00,36361,0
1/8/2021 20:00,36361,0
1/8/2021 21:00,36361,0
1/8/2021 22:00,36361,0
1/8/2021 23:00,36361,0
1/9/2021 0:00,36361,0
1/9/2021 1:00,36361,0
1/9/2021 2:00,36361,0
1/9/2021 3:00,36361,0
1/9/2021 4:00,36361,0
1/9/2021 5:00,36361,0
1/9/2021 6:00,36361,0
1/9/2021 7:00,36361,0
1/9/2021 8:00,36361,0
1/9/2021 9:00,36365,4
1/9/2021 10:00,36374,9
1/9/2021 11:00,36433,59
1/9/2021 12:00,36510,77
1/9/2021 13:00,36590,80
1/9/2021 14:00,36667,77
1/9/2021 15:00,36729,62
1/9/2021 16:00,36760,31
1/9/2021 17:00,36767,7
1/9/2021 18:00,36768,1
1/9/2021 19:00,36768,0
1/9/2021 20:00,36768,0
1/9/2021 21:00,36768,0
1/9/2021 22:00,36768,0
1/9/2021 23:00,36768,0
1/10/2021 0:00,36768,0
1/10/2021 1:00,36768,0
1/10/2021 2:00,36768,0
1/10/2021 3:00,36768,0
1/10/2021 4:00,36768,0
1/10/2021 5:00,36768,0
1/10/2021 6:00,36768,0
1/10/2021 7:00,36768,0
1/10/2021 8:00,36769,1
1/10/2021 9:00,36772,3
1/10/2021 10:00,36781,9
1/10/2021 11:00,36839,58
1/10/2021 12:00,36914,75
1/10/2021 13:00,36992,78
1/10/2021 14:00,37068,76
1/10/2021 15:00,37133,65
1/10/2021 16:00,37179,46
1/10/2021 17:00,37195,16
1/10/2021 18:00,37195,0
1/10/2021 19:00,37195,0
1/10/2021 20:00,37195,0
1/10/2021 21:00,37195,0
1/10/2021 22:00,37195,0
1/10/2021 23:00,37195,0
1/11/2021 0:00,37195,0
1/11/2021 1:00,37195,0
1/11/2021 2:00,37195,0
1/11/2021 3:00,37195,0
1/11/2021 4:00,37195,0
1/11/2021 5:00,37195,0
1/11/2021 6:00,37195,0
1/11/2021 7:00,37195,0
1/11/2021 8:00,37196,1
1/11/2021 9:00,37201,5
1/11/2021 10:00,37214,13
1/11/2021 11:00,37245,31
1/11/2021 12:00,37271,26
1/11/2021 13:00,37291,20
1/11/2021 14:00,37307,16
1/11/2021 15:00,37321,14
1/11/2021 16:00,37331,10
1/11/2021 17:00,37335,4
1/11/2021 18:00,37335,0
1/11/2021 19:00,37335,0
1/11/2021 20:00,37335,0
1/11/2021 21:00,37335,0
1/11/2021 22:00,37335,0
1/11/2021 23:00,37335,0
1/12/2021 0:00,37335,0
1/12/2021 1:00,37335,0
1/12/2021 2:00,37335,0
1/12/2021 3:00,37335,0
1/12/2021 4:00,37335,0
1/12/2021 5:00,37335,0
1/12/2021 6:00,37335,0
1/12/2021 7:00,37335,0
1/12/2021 8:00,37336,1
1/12/2021 9:00,37340,4
1/12/2021 10:00,37349,9
1/12/2021 11:00,37405,56
1/12/2021 12:00,37475,70
1/12/2021 13:00,37550,75
1/12/2021 14:00,37618,68
1/12/2021 15:00,37685,67
1/12/2021 16:00,37728,43
1/12/2021 17:00,37746,18
1/12/2021 18:00,37747,1
1/12/2021 19:00,37747,0
1/12/2021 20:00,37747,0
1/12/2021 21:00,37747,0
1/12/2021 22:00,37747,0
1/12/2021 23:00,37747,0
1/13/2021 0:00,37747,0
1/13/2021 1:00,37747,0
1/13/2021 2:00,37747,0
1/13/2021 3:00,37747,0
1/13/2021 4:00,37747,0
1/13/2021 5:00,37747,0
1/13/2021 6:00,37747,0
1/13/2021 7:00,37747,0
1/13/2021 8:00,37748,1
