,0
0,6503.73
1,6047.75
2,5692.4
3,5564.77
4,5624.38
5,5771.04
6,5941.01
7,6291.59
8,6580.84
9,6633.79
10,6604.48
11,6458.64
12,6442.91
13,6477.32
14,6693.18
15,6863.36
16,7180.58
17,7476.32
18,7556.35
19,7447.38
20,7234.87
21,7049.11
22,7004.8
23,6691.83
24,6431.4
25,6047.7
26,5755.25
27,5685.03
28,5776.14
29,5854.24
30,5938.98
31,6298.19
32,6699.33
33,6914.47
34,6691.28
35,6738.09
36,6470.92
37,6249.14
38,6648.96
39,7046.32
40,7359.59
41,7878.84
42,8039.83
43,7994.15
44,7855.28
45,7475.48
46,7239.37
47,6866.94
48,6580.07
49,6167.18
50,5893.63
51,5903.97
52,6097.67
53,6430.97
54,6802.3
55,7310.29
56,7513.65
57,7577.19
58,7764.46
59,8009.41
60,8291.34
61,8424.5
62,8650.9
63,8794.82
64,8385.42
65,8382.2
66,8177.51
67,8012.41
68,7820.2
69,7612.5
70,7495.88
71,7220.1
72,6945.58
73,6494.73
74,6121.7
75,6021.07
76,6160.4
77,6532.18
78,6871.06
79,7156.79
80,7155.75
81,7088.68
82,7068.42
83,7143.11
84,7401.32
85,7656.03
86,8050.99
87,8243.82
88,8937.81
89,9221.57
90,9190.42
91,8914.61
92,8542.82
93,8138.64
94,7841.2
95,7419.83
96,7108.26
97,6544.16
98,6212.62
99,6113.69
100,6282.38
101,6618.85
102,6915.86
103,7328.91
104,7474.99
105,7492.19
106,7570.57
107,7294.94
108,7278.72
109,7288.32
110,7513.87
111,7734.41
112,7976.14
113,8095.5
114,7973.1
115,7894.66
116,7704.82
117,7508.85
118,7410.23
119,7181.52
120,6911.93
121,6397.28
122,6064.86
123,5936.71
124,6110.21
125,6457.25
126,6767.14
127,7092.56
128,7162.06
129,7145.64
130,7094.45
131,7046.89
132,7013.75
133,6846.89
134,6892.86
135,7087.54
136,7588.29
137,7771.63
138,7912.53
139,7868.02
140,7764.63
141,7466.69
142,7358.57
143,7142.8
144,6889.8
145,6410.25
