,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,4,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0
1,0,0,0,4,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0
2,0,0,4,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0
3,0,4,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0
4,4,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0
5,52,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4
6,52,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56
7,48,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67
8,4,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27
9,0,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7
10,0,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0
11,0,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0
12,0,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0
13,0,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0
14,0,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0
15,0,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0
16,5,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0
17,53,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4
18,74,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52
19,63,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71
20,16,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55
21,0,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12
22,0,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0
23,0,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0
24,0,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0
25,0,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0
26,0,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0
27,0,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0
28,4,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0,0
29,56,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0,0,6
30,67,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0,0,6,36
31,27,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0,0,6,36,59
32,7,0,0,0,0,0,0,0,4,52,71,55,12,0,0,0,0,0,0,0,6,36,59,30
