,0
0,0
1,0
2,0
3,0
4,4
5,56
6,67
7,27
8,7
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,4
17,52
18,71
19,55
20,12
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,6
29,36
30,59
31,30
32,7
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,4
41,58
42,74
43,66
44,16
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,3
53,54
54,83
55,70
56,20
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,3
65,62
66,82
67,70
68,19
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,4
77,59
78,80
79,62
80,7
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,3
89,58
90,78
91,65
92,16
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,5
101,31
102,20
103,14
104,4
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,4
113,56
114,75
115,67
116,18
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,6
125,48
126,68
127,56
128,13
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,5
137,55
138,73
139,61
140,18
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,6
149,36
150,59
151,38
152,10
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,6
161,51
162,75
163,61
164,18
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,3
173,64
174,84
175,70
176,24
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,7
185,20
186,28
187,55
188,5
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,4
197,61
198,80
199,68
200,24
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,4
209,58
210,75
211,62
212,19
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,4
221,57
222,71
223,16
224,6
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,14
234,21
235,15
236,6
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,43
245,7
246,6
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,13
256,17
257,22
258,10
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,11
268,41
269,45
270,39
271,2
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,4
280,8
281,5
282,11
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,19
292,75
293,77
294,45
295,2
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,18
304,72
305,69
306,7
307,2
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,18
316,84
317,87
318,56
319,4
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,19
328,67
329,72
330,43
331,4
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,18
340,76
341,73
342,41
343,3
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,7
352,22
353,16
354,13
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,21
364,84
365,88
366,58
367,5
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,22
376,82
377,85
378,55
379,5
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,23
388,84
389,87
390,59
391,5
392,0
393,0
394,0
395,0
396,0
397,0
398,2
399,26
400,67
401,56
402,30
403,3
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,25
412,73
413,76
414,48
415,4
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,27
424,66
425,71
426,41
427,3
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,27
436,85
437,88
438,59
439,6
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,29
448,82
449,86
450,60
451,6
452,0
453,0
454,0
455,0
456,0
457,0
458,2
459,27
460,73
461,74
462,48
463,5
464,0
465,0
466,0
467,0
468,0
469,0
470,2
471,27
472,64
473,56
474,27
475,3
476,0
477,0
478,0
479,0
480,0
481,0
482,2
483,27
484,59
485,76
486,51
487,6
488,0
489,0
490,0
491,0
492,0
493,0
494,2
495,31
496,76
497,79
498,54
499,6
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,11
508,23
509,23
510,12
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,2
519,29
520,24
521,73
522,54
523,8
524,0
525,0
526,0
527,0
528,0
529,0
530,2
531,36
532,83
