,SETTLEMENTDATE,F_all_power,Delta_power
0,1/1/2021 1:00,33391,0
1,1/1/2021 2:00,33391,0
2,1/1/2021 3:00,33391,0
3,1/1/2021 4:00,33391,0
4,1/1/2021 5:00,33391,0
5,1/1/2021 6:00,33391,0
6,1/1/2021 7:00,33391,0
7,1/1/2021 8:00,33391,0
8,1/1/2021 9:00,33395,4
9,1/1/2021 10:00,33407,12
10,1/1/2021 11:00,33459,52
11,1/1/2021 12:00,33508,49
12,1/1/2021 13:00,33560,52
13,1/1/2021 14:00,33600,40
14,1/1/2021 15:00,33648,48
15,1/1/2021 16:00,33675,27
16,1/1/2021 17:00,33679,4
17,1/1/2021 18:00,33679,0
18,1/1/2021 19:00,33679,0
19,1/1/2021 20:00,33679,0
20,1/1/2021 21:00,33679,0
21,1/1/2021 22:00,33679,0
22,1/1/2021 23:00,33679,0
23,1/2/2021 0:00,33679,0
24,1/2/2021 1:00,33679,0
25,1/2/2021 2:00,33679,0
26,1/2/2021 3:00,33679,0
27,1/2/2021 4:00,33679,0
28,1/2/2021 5:00,33679,0
29,1/2/2021 6:00,33679,0
30,1/2/2021 7:00,33679,0
31,1/2/2021 8:00,33679,0
32,1/2/2021 9:00,33684,5
33,1/2/2021 10:00,33695,11
34,1/2/2021 11:00,33748,53
35,1/2/2021 12:00,33816,68
36,1/2/2021 13:00,33890,74
37,1/2/2021 14:00,33962,72
38,1/2/2021 15:00,34025,63
39,1/2/2021 16:00,34069,44
40,1/2/2021 17:00,34085,16
41,1/2/2021 18:00,34086,1
42,1/2/2021 19:00,34086,0
43,1/2/2021 20:00,34086,0
44,1/2/2021 21:00,34086,0
45,1/2/2021 22:00,34086,0
46,1/2/2021 23:00,34086,0
47,1/3/2021 0:00,34086,0
48,1/3/2021 1:00,34086,0
49,1/3/2021 2:00,34086,0
50,1/3/2021 3:00,34086,0
51,1/3/2021 4:00,34086,0
52,1/3/2021 5:00,34086,0
53,1/3/2021 6:00,34086,0
54,1/3/2021 7:00,34086,0
55,1/3/2021 8:00,34086,0
56,1/3/2021 9:00,34090,4
57,1/3/2021 10:00,34100,10
58,1/3/2021 11:00,34156,56
59,1/3/2021 12:00,34229,73
60,1/3/2021 13:00,34296,67
61,1/3/2021 14:00,34357,61
62,1/3/2021 15:00,34384,27
63,1/3/2021 16:00,34402,18
64,1/3/2021 17:00,34409,7
65,1/3/2021 18:00,34409,0
66,1/3/2021 19:00,34409,0
67,1/3/2021 20:00,34409,0
68,1/3/2021 21:00,34409,0
69,1/3/2021 22:00,34409,0
70,1/3/2021 23:00,34409,0
71,1/4/2021 0:00,34409,0
72,1/4/2021 1:00,34409,0
73,1/4/2021 2:00,34409,0
74,1/4/2021 3:00,34409,0
75,1/4/2021 4:00,34409,0
76,1/4/2021 5:00,34409,0
77,1/4/2021 6:00,34409,0
78,1/4/2021 7:00,34409,0
79,1/4/2021 8:00,34410,1
80,1/4/2021 9:00,34414,4
81,1/4/2021 10:00,34425,11
82,1/4/2021 11:00,34477,52
83,1/4/2021 12:00,34543,66
84,1/4/2021 13:00,34614,71
85,1/4/2021 14:00,34681,67
86,1/4/2021 15:00,34736,55
87,1/4/2021 16:00,34773,37
88,1/4/2021 17:00,34785,12
89,1/4/2021 18:00,34786,1
90,1/4/2021 19:00,34786,0
91,1/4/2021 20:00,34786,0
92,1/4/2021 21:00,34786,0
93,1/4/2021 22:00,34786,0
94,1/4/2021 23:00,34786,0
95,1/5/2021 0:00,34786,0
96,1/5/2021 1:00,34786,0
97,1/5/2021 2:00,34786,0
98,1/5/2021 3:00,34786,0
99,1/5/2021 4:00,34786,0
100,1/5/2021 5:00,34786,0
101,1/5/2021 6:00,34786,0
102,1/5/2021 7:00,34786,0
103,1/5/2021 8:00,34786,0
104,1/5/2021 9:00,34792,6
105,1/5/2021 10:00,34808,16
106,1/5/2021 11:00,34844,36
107,1/5/2021 12:00,34892,48
108,1/5/2021 13:00,34951,59
109,1/5/2021 14:00,34978,27
110,1/5/2021 15:00,35008,30
111,1/5/2021 16:00,35025,17
112,1/5/2021 17:00,35032,7
113,1/5/2021 18:00,35033,1
114,1/5/2021 19:00,35033,0
115,1/5/2021 20:00,35033,0
116,1/5/2021 21:00,35033,0
117,1/5/2021 22:00,35033,0
118,1/5/2021 23:00,35033,0
119,1/6/2021 0:00,35033,0
120,1/6/2021 1:00,35033,0
121,1/6/2021 2:00,35033,0
122,1/6/2021 3:00,35033,0
123,1/6/2021 4:00,35033,0
124,1/6/2021 5:00,35033,0
125,1/6/2021 6:00,35033,0
126,1/6/2021 7:00,35033,0
127,1/6/2021 8:00,35033,0
128,1/6/2021 9:00,35037,4
129,1/6/2021 10:00,35045,8
130,1/6/2021 11:00,35103,58
131,1/6/2021 12:00,35179,76
132,1/6/2021 13:00,35253,74
133,1/6/2021 14:00,35330,77
134,1/6/2021 15:00,35396,66
135,1/6/2021 16:00,35440,44
136,1/6/2021 17:00,35456,16
137,1/6/2021 18:00,35457,1
138,1/6/2021 19:00,35457,0
139,1/6/2021 20:00,35457,0
140,1/6/2021 21:00,35457,0
141,1/6/2021 22:00,35457,0
142,1/6/2021 23:00,35457,0
143,1/7/2021 0:00,35457,0
144,1/7/2021 1:00,35457,0
145,1/7/2021 2:00,35457,0
146,1/7/2021 3:00,35457,0
147,1/7/2021 4:00,35457,0
148,1/7/2021 5:00,35457,0
149,1/7/2021 6:00,35457,0
150,1/7/2021 7:00,35457,0
151,1/7/2021 8:00,35458,1
152,1/7/2021 9:00,35461,3
153,1/7/2021 10:00,35471,10
154,1/7/2021 11:00,35525,54
155,1/7/2021 12:00,35604,79
156,1/7/2021 13:00,35687,83
157,1/7/2021 14:00,35768,81
158,1/7/2021 15:00,35838,70
159,1/7/2021 16:00,35888,50
160,1/7/2021 17:00,35908,20
161,1/7/2021 18:00,35908,0
162,1/7/2021 19:00,35908,0
163,1/7/2021 20:00,35908,0
164,1/7/2021 21:00,35908,0
165,1/7/2021 22:00,35908,0
166,1/7/2021 23:00,35908,0
167,1/8/2021 0:00,35908,0
168,1/8/2021 1:00,35908,0
169,1/8/2021 2:00,35908,0
170,1/8/2021 3:00,35908,0
171,1/8/2021 4:00,35908,0
172,1/8/2021 5:00,35908,0
173,1/8/2021 6:00,35908,0
174,1/8/2021 7:00,35908,0
175,1/8/2021 8:00,35909,1
176,1/8/2021 9:00,35912,3
177,1/8/2021 10:00,35921,9
178,1/8/2021 11:00,35983,62
179,1/8/2021 12:00,36061,78
180,1/8/2021 13:00,36143,82
181,1/8/2021 14:00,36223,80
182,1/8/2021 15:00,36293,70
183,1/8/2021 16:00,36341,48
184,1/8/2021 17:00,36360,19
185,1/8/2021 18:00,36361,1
186,1/8/2021 19:00,36361,0
187,1/8/2021 20:00,36361,0
188,1/8/2021 21:00,36361,0
189,1/8/2021 22:00,36361,0
190,1/8/2021 23:00,36361,0
191,1/9/2021 0:00,36361,0
192,1/9/2021 1:00,36361,0
193,1/9/2021 2:00,36361,0
194,1/9/2021 3:00,36361,0
195,1/9/2021 4:00,36361,0
196,1/9/2021 5:00,36361,0
197,1/9/2021 6:00,36361,0
198,1/9/2021 7:00,36361,0
199,1/9/2021 8:00,36361,0
200,1/9/2021 9:00,36365,4
201,1/9/2021 10:00,36374,9
202,1/9/2021 11:00,36433,59
203,1/9/2021 12:00,36510,77
204,1/9/2021 13:00,36590,80
205,1/9/2021 14:00,36667,77
206,1/9/2021 15:00,36729,62
207,1/9/2021 16:00,36760,31
208,1/9/2021 17:00,36767,7
209,1/9/2021 18:00,36768,1
210,1/9/2021 19:00,36768,0
211,1/9/2021 20:00,36768,0
212,1/9/2021 21:00,36768,0
213,1/9/2021 22:00,36768,0
214,1/9/2021 23:00,36768,0
215,1/10/2021 0:00,36768,0
216,1/10/2021 1:00,36768,0
217,1/10/2021 2:00,36768,0
218,1/10/2021 3:00,36768,0
219,1/10/2021 4:00,36768,0
220,1/10/2021 5:00,36768,0
221,1/10/2021 6:00,36768,0
222,1/10/2021 7:00,36768,0
223,1/10/2021 8:00,36769,1
224,1/10/2021 9:00,36772,3
225,1/10/2021 10:00,36781,9
226,1/10/2021 11:00,36839,58
227,1/10/2021 12:00,36914,75
